RUN	AdvancedSimulation	advancedsimulation	1710035380641	 	3.2.1
USER	Buscar produtos	12	START	1710035381605	1710035381605
USER	Buscar carrinhos	18	START	1710035381606	1710035381606
USER	Buscar usuários	1	START	1710035381601	1710035381601
REQUEST	1		GET_usuarios	1710035381627	1710035381645	OK	 
REQUEST	12		GET_produtos	1710035381627	1710035381645	OK	 
REQUEST	18		GET_carrinhos	1710035381627	1710035381646	OK	 
USER	Buscar usuários	2	START	1710035381815	1710035381815
REQUEST	2		GET_usuarios	1710035381816	1710035381821	OK	 
USER	Buscar produtos	13	START	1710035381946	1710035381946
REQUEST	13		GET_produtos	1710035381948	1710035381955	OK	 
USER	Buscar usuários	3	START	1710035382016	1710035382016
REQUEST	3		GET_usuarios	1710035382017	1710035382022	OK	 
USER	Buscar usuários	4	START	1710035382216	1710035382216
REQUEST	4		GET_usuarios	1710035382217	1710035382226	OK	 
USER	Buscar produtos	14	START	1710035382286	1710035382286
REQUEST	14		GET_produtos	1710035382287	1710035382293	OK	 
USER	Buscar usuários	5	START	1710035382416	1710035382416
REQUEST	5		GET_usuarios	1710035382417	1710035382423	OK	 
USER	Buscar produtos	15	START	1710035382616	1710035382616
USER	Buscar carrinhos	19	START	1710035382616	1710035382616
USER	Buscar usuários	6	START	1710035382616	1710035382616
REQUEST	6		GET_usuarios	1710035382617	1710035382625	OK	 
REQUEST	15		GET_produtos	1710035382617	1710035382627	OK	 
REQUEST	19		GET_carrinhos	1710035382617	1710035382627	OK	 
USER	Buscar usuários	7	START	1710035382816	1710035382816
REQUEST	7		GET_usuarios	1710035382818	1710035382824	OK	 
USER	Buscar usuários	8	START	1710035383016	1710035383016
REQUEST	8		GET_usuarios	1710035383016	1710035383022	OK	 
USER	Buscar produtos	16	START	1710035383116	1710035383116
REQUEST	16		GET_produtos	1710035383117	1710035383122	OK	 
USER	Buscar usuários	9	START	1710035383217	1710035383217
REQUEST	9		GET_usuarios	1710035383218	1710035383225	OK	 
USER	Buscar usuários	10	START	1710035383426	1710035383426
REQUEST	10		GET_usuarios	1710035383428	1710035383435	OK	 
USER	Buscar produtos	17	START	1710035383616	1710035383616
USER	Buscar carrinhos	20	START	1710035383616	1710035383616
USER	Buscar usuários	11	START	1710035383654	1710035383654
REQUEST	17		GET_produtos	1710035383617	1710035383661	OK	 
REQUEST	11		GET_usuarios	1710035383654	1710035383661	OK	 
REQUEST	20		GET_carrinhos	1710035383618	1710035383663	OK	 
USER	Buscar usuários	21	START	1710035383835	1710035383835
REQUEST	21		GET_usuarios	1710035383836	1710035383841	OK	 
USER	Buscar produtos	26	START	1710035383965	1710035383965
REQUEST	26		GET_produtos	1710035383967	1710035383973	OK	 
USER	Buscar usuários	22	START	1710035384037	1710035384037
REQUEST	22		GET_usuarios	1710035384039	1710035384045	OK	 
USER	Buscar usuários	3	END	1710035382016	1710035384130
USER	Buscar usuários	23	START	1710035384236	1710035384236
REQUEST	23		GET_usuarios	1710035384236	1710035384239	OK	 
USER	Buscar produtos	27	START	1710035384296	1710035384296
REQUEST	27		GET_produtos	1710035384298	1710035384303	OK	 
USER	Buscar usuários	24	START	1710035384436	1710035384436
