ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710037188708	 	3.2.1
USER	Buscar carrinhos	18	START	1710037189680	1710037189680
USER	Buscar produtos	12	START	1710037189678	1710037189678
USER	Buscar usuários	1	START	1710037189673	1710037189673
REQUEST	12		GET_produtos	1710037189692	1710037189709	OK	 
REQUEST	1		GET_usuarios	1710037189692	1710037189709	OK	 
REQUEST	18		GET_carrinhos	1710037189692	1710037189709	OK	 
USER	Buscar usuários	2	START	1710037189887	1710037189887
REQUEST	2		GET_usuarios	1710037189889	1710037189894	OK	 
USER	Buscar produtos	13	START	1710037190017	1710037190017
REQUEST	13		GET_produtos	1710037190019	1710037190026	OK	 
USER	Buscar usuários	3	START	1710037190087	1710037190087
REQUEST	3		GET_usuarios	1710037190089	1710037190095	OK	 
USER	Buscar usuários	4	START	1710037190287	1710037190287
REQUEST	4		GET_usuarios	1710037190289	1710037190296	OK	 
USER	Buscar produtos	14	START	1710037190357	1710037190357
REQUEST	14		GET_produtos	1710037190359	1710037190401	OK	 
USER	Buscar usuários	5	START	1710037190487	1710037190487
REQUEST	5		GET_usuarios	1710037190488	1710037190495	OK	 
USER	Buscar usuários	6	START	1710037190688	1710037190688
USER	Buscar produtos	15	START	1710037190688	1710037190688
USER	Buscar carrinhos	19	START	1710037190688	1710037190688
REQUEST	15		GET_produtos	1710037190690	1710037190698	OK	 
REQUEST	19		GET_carrinhos	1710037190689	1710037190700	OK	 
REQUEST	6		GET_usuarios	1710037190689	1710037190700	OK	 
USER	Buscar usuários	7	START	1710037190887	1710037190887
REQUEST	7		GET_usuarios	1710037190888	1710037190896	OK	 
USER	Buscar usuários	8	START	1710037191097	1710037191097
REQUEST	8		GET_usuarios	1710037191099	1710037191106	OK	 
USER	Buscar produtos	16	START	1710037191187	1710037191187
REQUEST	16		GET_produtos	1710037191188	1710037191196	OK	 
USER	Buscar usuários	9	START	1710037191297	1710037191297
REQUEST	9		GET_usuarios	1710037191298	1710037191305	OK	 
USER	Buscar usuários	10	START	1710037191497	1710037191497
REQUEST	10		GET_usuarios	1710037191499	1710037191505	OK	 
USER	Buscar carrinhos	20	START	1710037191688	1710037191688
USER	Buscar produtos	17	START	1710037191688	1710037191688
REQUEST	20		GET_carrinhos	1710037191690	1710037191698	OK	 
REQUEST	17		GET_produtos	1710037191690	1710037191698	OK	 
USER	Buscar usuários	11	START	1710037191697	1710037191697
REQUEST	11		GET_usuarios	1710037191699	1710037191702	OK	 
USER	Buscar usuários	21	START	1710037191887	1710037191887
REQUEST	21		GET_usuarios	1710037191888	1710037191894	OK	 
USER	Buscar produtos	26	START	1710037192017	1710037192017
REQUEST	26		GET_produtos	1710037192018	1710037192023	OK	 
USER	Buscar usuários	2	END	1710037189887	1710037192082
USER	Buscar usuários	22	START	1710037192087	1710037192087
REQUEST	22		GET_usuarios	1710037192088	1710037192092	OK	 
USER	Buscar usuários	23	START	1710037192287	1710037192287
REQUEST	23		GET_usuarios	1710037192288	1710037192295	OK	 
USER	Buscar produtos	27	START	1710037192347	1710037192347
REQUEST	27		GET_produtos	1710037192349	1710037192355	OK	 
USER	Buscar usuários	24	START	1710037192487	1710037192487
REQUEST	24		GET_usuarios	1710037192488	1710037192493	OK	 
USER	Buscar produtos	28	START	1710037192687	1710037192687
USER	Buscar carrinhos	29	START	1710037192687	1710037192687
USER	Buscar usuários	25	START	1710037192687	1710037192687
REQUEST	25		GET_usuarios	1710037192689	1710037192694	OK	 
REQUEST	29		GET_carrinhos	1710037192689	1710037192694	OK	 
REQUEST	28		GET_produtos	1710037192689	1710037192695	OK	 
USER	Buscar usuários	6	END	1710037190688	1710037192737
USER	Buscar usuários	1	END	1710037189673	1710037192758
USER	Buscar usuários	30	START	1710037192887	1710037192887
REQUEST	30		GET_usuarios	1710037192887	1710037192891	OK	 
USER	Buscar produtos	12	END	1710037189678	1710037193048
USER	Buscar usuários	31	START	1710037193087	1710037193087
REQUEST	31		GET_usuarios	1710037193089	1710037193095	OK	 
USER	Buscar produtos	35	START	1710037193187	1710037193187
REQUEST	35		GET_produtos	1710037193188	1710037193195	OK	 
USER	Buscar usuários	32	START	1710037193286	1710037193286
REQUEST	32		GET_usuarios	1710037193287	1710037193291	OK	 
USER	Buscar produtos	13	END	1710037190017	1710037193477
USER	Buscar usuários	33	START	1710037193486	1710037193486
REQUEST	33		GET_usuarios	1710037193487	1710037193489	OK	 
USER	Buscar usuários	8	END	1710037191097	1710037193557
USER	Buscar usuários	4	END	1710037190287	1710037193657
USER	Buscar produtos	36	START	1710037193687	1710037193687
USER	Buscar usuários	34	START	1710037193687	1710037193687
USER	Buscar carrinhos	37	START	1710037193687	1710037193687
REQUEST	34		GET_usuarios	1710037193688	1710037193691	OK	 
REQUEST	37		GET_carrinhos	1710037193688	1710037193691	OK	 
REQUEST	36		GET_produtos	1710037193688	1710037193693	OK	 
