RUN	BasicSimulation	basicsimulation	1710033294285	teste 3	3.2.1
USER	Buscar usuários cadastrados	5	START	1710033295346	1710033295346
USER	Buscar usuários cadastrados	8	START	1710033295347	1710033295347
USER	Buscar usuários cadastrados	3	START	1710033295345	1710033295345
USER	Buscar usuários cadastrados	2	START	1710033295345	1710033295345
USER	Buscar usuários cadastrados	4	START	1710033295345	1710033295345
USER	Buscar usuários cadastrados	1	START	1710033295345	1710033295345
USER	Buscar usuários cadastrados	6	START	1710033295346	1710033295346
USER	Buscar usuários cadastrados	9	START	1710033295348	1710033295348
USER	Buscar usuários cadastrados	7	START	1710033295347	1710033295347
USER	Buscar usuários cadastrados	10	START	1710033295347	1710033295347
REQUEST	9		GET_usuarios	1710033295371	1710033295396	OK	 
REQUEST	8		GET_usuarios	1710033295372	1710033295396	OK	 
REQUEST	3		GET_usuarios	1710033295371	1710033295398	OK	 
REQUEST	5		GET_usuarios	1710033295372	1710033295396	OK	 
REQUEST	4		GET_usuarios	1710033295372	1710033295401	OK	 
REQUEST	7		GET_usuarios	1710033295372	1710033295396	OK	 
REQUEST	10		GET_usuarios	1710033295372	1710033295397	OK	 
REQUEST	1		GET_usuarios	1710033295372	1710033295401	OK	 
REQUEST	6		GET_usuarios	1710033295372	1710033295397	OK	 
REQUEST	2		GET_usuarios	1710033295371	1710033295398	OK	 
REQUEST	2		GET_produtos	1710033300430	1710033300461	OK	 
REQUEST	9		GET_produtos	1710033300430	1710033300461	OK	 
REQUEST	6		GET_produtos	1710033300431	1710033300461	OK	 
REQUEST	8		GET_produtos	1710033300430	1710033300463	OK	 
REQUEST	3		GET_produtos	1710033300430	1710033300463	OK	 
REQUEST	5		GET_produtos	1710033300431	1710033300463	OK	 
REQUEST	10		GET_produtos	1710033300431	1710033300464	OK	 
REQUEST	4		GET_produtos	1710033300441	1710033300464	OK	 
REQUEST	1		GET_produtos	1710033300441	1710033300465	OK	 
REQUEST	7		GET_produtos	1710033300431	1710033300465	OK	 
USER	Buscar usuários cadastrados	7	END	1710033295347	1710033305455
USER	Buscar usuários cadastrados	3	END	1710033295345	1710033305455
USER	Buscar usuários cadastrados	6	END	1710033295346	1710033305455
USER	Buscar usuários cadastrados	1	END	1710033295345	1710033305455
USER	Buscar usuários cadastrados	8	END	1710033295347	1710033305455
USER	Buscar usuários cadastrados	4	END	1710033295345	1710033305455
USER	Buscar usuários cadastrados	10	END	1710033295347	1710033305455
USER	Buscar usuários cadastrados	2	END	1710033295345	1710033305455
USER	Buscar usuários cadastrados	5	END	1710033295346	1710033305460
USER	Buscar usuários cadastrados	9	END	1710033295348	1710033305460
