ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	SimpleSimulation	simplesimulation	1710120869977	 	3.2.1
USER	Buscar carrinhos	22	START	1710120870983	1710120870983
USER	Buscar produtos	1	START	1710120870975	1710120870975
REQUEST	1		GET_produtos	1710120871001	1710120871025	OK	 
REQUEST	22		GET_carrinhos	1710120871001	1710120871025	OK	 
USER	Buscar produtos	2	START	1710120871083	1710120871083
REQUEST	2		GET_produtos	1710120871084	1710120871088	OK	 
USER	Buscar produtos	3	START	1710120871184	1710120871184
REQUEST	3		GET_produtos	1710120871184	1710120871188	OK	 
USER	Buscar produtos	4	START	1710120871284	1710120871284
REQUEST	4		GET_produtos	1710120871286	1710120871294	OK	 
USER	Buscar produtos	5	START	1710120871384	1710120871384
REQUEST	5		GET_produtos	1710120871386	1710120871393	OK	 
USER	Buscar produtos	6	START	1710120871484	1710120871484
REQUEST	6		GET_produtos	1710120871486	1710120871493	OK	 
USER	Buscar produtos	7	START	1710120871584	1710120871584
REQUEST	7		GET_produtos	1710120871585	1710120871591	OK	 
USER	Buscar produtos	8	START	1710120871685	1710120871685
REQUEST	8		GET_produtos	1710120871686	1710120871694	OK	 
USER	Buscar produtos	9	START	1710120871784	1710120871784
REQUEST	9		GET_produtos	1710120871786	1710120871793	OK	 
USER	Buscar produtos	10	START	1710120871884	1710120871884
REQUEST	10		GET_produtos	1710120871884	1710120871891	OK	 
USER	Buscar carrinhos	23	START	1710120871974	1710120871974
USER	Buscar produtos	11	START	1710120871983	1710120871983
REQUEST	23		GET_carrinhos	1710120871976	1710120871985	OK	 
REQUEST	11		GET_produtos	1710120871984	1710120871991	OK	 
USER	Buscar produtos	12	START	1710120872084	1710120872084
REQUEST	12		GET_produtos	1710120872085	1710120872090	OK	 
USER	Buscar produtos	13	START	1710120872183	1710120872183
REQUEST	13		GET_produtos	1710120872185	1710120872223	OK	 
USER	Buscar produtos	14	START	1710120872284	1710120872284
REQUEST	14		GET_produtos	1710120872285	1710120872293	OK	 
USER	Buscar produtos	15	START	1710120872384	1710120872384
REQUEST	15		GET_produtos	1710120872385	1710120872393	OK	 
USER	Buscar produtos	16	START	1710120872484	1710120872484
REQUEST	16		GET_produtos	1710120872485	1710120872491	OK	 
USER	Buscar produtos	17	START	1710120872585	1710120872585
REQUEST	17		GET_produtos	1710120872586	1710120872591	OK	 
USER	Buscar produtos	18	START	1710120872684	1710120872684
REQUEST	18		GET_produtos	1710120872685	1710120872690	OK	 
USER	Buscar produtos	19	START	1710120872784	1710120872784
REQUEST	19		GET_produtos	1710120872786	1710120872791	OK	 
USER	Buscar produtos	20	START	1710120872884	1710120872884
REQUEST	20		GET_produtos	1710120872886	1710120872894	OK	 
USER	Buscar carrinhos	24	START	1710120872985	1710120872985
USER	Buscar produtos	21	START	1710120872985	1710120872985
REQUEST	24		GET_carrinhos	1710120872986	1710120872992	OK	 
REQUEST	21		GET_produtos	1710120872986	1710120872993	OK	 
USER	Buscar produtos	25	START	1710120873084	1710120873084
REQUEST	25		GET_produtos	1710120873085	1710120873090	OK	 
USER	Buscar produtos	26	START	1710120873184	1710120873184
REQUEST	26		GET_produtos	1710120873184	1710120873187	OK	 
USER	Buscar produtos	27	START	1710120873284	1710120873284
REQUEST	27		GET_produtos	1710120873286	1710120873292	OK	 
USER	Buscar produtos	28	START	1710120873383	1710120873383
REQUEST	28		GET_produtos	1710120873384	1710120873388	OK	 
USER	Buscar produtos	29	START	1710120873484	1710120873484
REQUEST	29		GET_produtos	1710120873484	1710120873487	OK	 
USER	Buscar produtos	30	START	1710120873584	1710120873584
REQUEST	30		GET_produtos	1710120873585	1710120873588	OK	 
USER	Buscar produtos	31	START	1710120873684	1710120873684
REQUEST	31		GET_produtos	1710120873685	1710120873690	OK	 
USER	Buscar produtos	32	START	1710120873784	1710120873784
REQUEST	32		GET_produtos	1710120873786	1710120873791	OK	 
USER	Buscar produtos	33	START	1710120873884	1710120873884
REQUEST	33		GET_produtos	1710120873885	1710120873890	OK	 
USER	Buscar carrinhos	35	START	1710120873974	1710120873974
REQUEST	35		GET_carrinhos	1710120873975	1710120873981	OK	 
USER	Buscar produtos	34	START	1710120873986	1710120873986
REQUEST	34		GET_produtos	1710120873987	1710120873990	OK	 
USER	Buscar produtos	47	START	1710120874084	1710120874084
REQUEST	47		GET_produtos	1710120874086	1710120874091	OK	 
USER	Buscar produtos	48	START	1710120874184	1710120874184
REQUEST	48		GET_produtos	1710120874185	1710120874190	OK	 
USER	Buscar produtos	2	END	1710120871083	1710120874229
USER	Buscar produtos	49	START	1710120874284	1710120874284
REQUEST	49		GET_produtos	1710120874285	1710120874290	OK	 
USER	Buscar produtos	50	START	1710120874384	1710120874384
REQUEST	50		GET_produtos	1710120874386	1710120874392	OK	 
USER	Buscar produtos	51	START	1710120874484	1710120874484
REQUEST	51		GET_produtos	1710120874486	1710120874491	OK	 
USER	Buscar produtos	5	END	1710120871384	1710120874494
USER	Buscar produtos	52	START	1710120874584	1710120874584
REQUEST	52		GET_produtos	1710120874585	1710120874591	OK	 
USER	Buscar produtos	1	END	1710120870975	1710120874675
USER	Buscar produtos	53	START	1710120874684	1710120874684
REQUEST	53		GET_produtos	1710120874684	1710120874687	OK	 
USER	Buscar produtos	54	START	1710120874784	1710120874784
REQUEST	54		GET_produtos	1710120874785	1710120874788	OK	 
USER	Buscar produtos	6	END	1710120871484	1710120874884
USER	Buscar produtos	55	START	1710120874884	1710120874884
REQUEST	55		GET_produtos	1710120874885	1710120874890	OK	 
USER	Buscar carrinhos	57	START	1710120874974	1710120874974
REQUEST	57		GET_carrinhos	1710120874975	1710120874981	OK	 
USER	Buscar usuários	36	START	1710120874984	1710120874984
USER	Buscar usuários	38	START	1710120874985	1710120874985
USER	Buscar usuários	41	START	1710120874986	1710120874986
USER	Buscar usuários	42	START	1710120874986	1710120874986
USER	Buscar usuários	43	START	1710120874986	1710120874986
USER	Buscar produtos	56	START	1710120874986	1710120874986
USER	Buscar usuários	39	START	1710120874987	1710120874987
USER	Buscar usuários	37	START	1710120874987	1710120874987
USER	Buscar usuários	46	START	1710120874988	1710120874988
USER	Buscar usuários	45	START	1710120874988	1710120874988
USER	Buscar usuários	40	START	1710120874988	1710120874988
USER	Buscar usuários	44	START	1710120874989	1710120874989
REQUEST	36		GET_usuarios	1710120874985	1710120874996	OK	 
REQUEST	56		GET_produtos	1710120874987	1710120874997	OK	 
REQUEST	38		GET_usuarios	1710120874986	1710120874999	OK	 
REQUEST	41		GET_usuarios	1710120874986	1710120875000	OK	 
REQUEST	42		GET_usuarios	1710120874986	1710120875000	OK	 
REQUEST	43		GET_usuarios	1710120874987	1710120875001	OK	 
REQUEST	37		GET_usuarios	1710120874987	1710120875003	OK	 
REQUEST	39		GET_usuarios	1710120874987	1710120875003	OK	 
REQUEST	46		GET_usuarios	1710120874988	1710120875004	OK	 
REQUEST	45		GET_usuarios	1710120874988	1710120875004	OK	 
REQUEST	44		GET_usuarios	1710120874989	1710120875005	OK	 
REQUEST	40		GET_usuarios	1710120874989	1710120875005	OK	 
USER	Buscar produtos	60	START	1710120875083	1710120875083
REQUEST	60		GET_produtos	1710120875084	1710120875087	OK	 
USER	Buscar produtos	61	START	1710120875184	1710120875184
REQUEST	61		GET_produtos	1710120875186	1710120875190	OK	 
USER	Buscar produtos	4	END	1710120871284	1710120875285
USER	Buscar produtos	62	START	1710120875285	1710120875285
REQUEST	62		GET_produtos	1710120875286	1710120875291	OK	 
USER	Buscar produtos	63	START	1710120875385	1710120875385
REQUEST	63		GET_produtos	1710120875386	1710120875392	OK	 
USER	Buscar produtos	14	END	1710120872284	1710120875464
USER	Buscar usuários	58	START	1710120875484	1710120875484
USER	Buscar produtos	64	START	1710120875484	1710120875484
REQUEST	58		GET_usuarios	1710120875485	1710120875491	OK	 
REQUEST	64		GET_produtos	1710120875486	1710120875492	OK	 
USER	Buscar produtos	65	START	1710120875584	1710120875584
REQUEST	65		GET_produtos	1710120875585	1710120875591	OK	 
USER	Buscar produtos	15	END	1710120872384	1710120875594
USER	Buscar produtos	66	START	1710120875684	1710120875684
REQUEST	66		GET_produtos	1710120875686	1710120875690	OK	 
USER	Buscar produtos	67	START	1710120875784	1710120875784
REQUEST	67		GET_produtos	1710120875784	1710120875786	OK	 
USER	
